"ID{id,int}(idx)","辅助","辅助","文件名(str,n)","类型(num,type)","层级(num,layer)","循环(num,loop)","打断(num,inter)",
89340001,1,1,worker001,4,1,0,true,
89340002,2,2,worker002,4,1,0,true,
89340003,3,3,worker003,4,1,0,true,
89340004,4,4,worker004,4,1,0,true,
89340005,5,5,worker005,4,1,0,true,
89340006,6,6,worker006,4,1,0,true,
89340007,7,7,worker007,4,1,0,true,
89340008,8,8,worker008,4,1,0,true,
89340009,9,9,worker009,4,1,0,true,
89340010,10,10,worker010,4,1,0,true,
89340011,11,11,worker011,4,1,0,true,
89340012,12,12,worker012,4,1,0,true,
89340013,13,13,worker013,4,1,0,true,
89340014,14,14,worker014,4,1,0,true,
89340015,15,15,worker015,4,1,0,true,
89340016,16,16,worker016,4,1,0,true,
89340017,17,17,worker017,4,1,0,true,
89340018,18,18,worker018,4,1,0,true,
89340019,19,19,worker019,4,1,0,true,
89340020,20,20,worker020,4,1,0,true,
89340021,21,21,worker021,4,1,0,true,
89340022,22,22,worker022,4,1,0,true,
89340023,23,23,worker023,4,1,0,true,
89340024,24,24,worker024,4,1,0,true,
89340025,25,25,worker025,4,1,0,true,
89340026,26,26,worker026,4,1,0,true,
89340027,27,27,worker027,4,1,0,true,
89340028,28,28,worker028,4,1,0,true,
89340029,29,29,worker029,4,1,0,true,
89340030,30,30,worker030,4,1,0,true,
89340031,31,31,worker031,4,1,0,true,
89340032,32,32,worker032,4,1,0,true,
89340033,33,33,worker033,4,1,0,true,
89340034,34,34,worker034,4,1,0,true,
89340035,35,35,worker035,4,1,0,true,
89340036,36,36,worker036,4,1,0,true,
89340037,37,37,worker037,4,1,0,true,
89340038,38,38,worker038,4,1,0,true,
89340039,39,39,worker039,4,1,0,true,
89340040,40,40,worker040,4,1,0,true,
89340041,41,41,worker041,4,1,0,true,
89340042,42,42,worker042,4,1,0,true,
89340043,43,43,worker043,4,1,0,true,
89340044,44,44,worker044,4,1,0,true,
89340045,45,45,worker045,4,1,0,true,
89340046,46,46,worker046,4,1,0,true,
89340047,47,47,worker047,4,1,0,true,
89340048,48,48,worker048,4,1,0,true,
89340049,49,49,worker049,4,1,0,true,
89340101,1,1,beauty001,4,1,0,true,
89340102,2,2,beauty002,4,1,0,true,
89340103,3,3,beauty003,4,1,0,true,
89340104,4,4,beauty004,4,1,0,true,
89340105,5,5,beauty005,4,1,0,true,
89340106,6,6,beauty006,4,1,0,true,
89340107,7,7,beauty007,4,1,0,true,
89340108,8,8,beauty008,4,1,0,true,
89340109,9,9,beauty009,4,1,0,true,
89340110,10,10,beauty010,4,1,0,true,
89340111,11,11,beauty011,4,1,0,true,
89340112,12,12,beauty012,4,1,0,true,
89340113,13,13,beauty013,4,1,0,true,
89340114,14,14,beauty014,4,1,0,true,
89340115,15,15,beauty015,4,1,0,true,
89340116,16,16,beauty016,4,1,0,true,
89340117,17,17,beauty017,4,1,0,true,
89340118,18,18,beauty018,4,1,0,true,
89340119,19,19,beauty019,4,1,0,true,
89340120,20,20,beauty020,4,1,0,true,
89340121,21,21,beauty021,4,1,0,true,
89340133,33,33,beauty033,4,1,0,true,
89340134,34,34,beauty034,4,1,0,true,
89340135,35,35,beauty035,4,1,0,true,
89340136,36,36,beauty036,4,1,0,true,
89340137,37,37,beauty037,4,1,0,true,
89340138,38,38,beauty038,4,1,0,true,
89340139,39,39,beauty039,4,1,0,true,
89320201,1,1,zhucheng001,2,2,-1,true,
89320208,8,8,zizhai001,2,2,-1,true,
89320301,1,1,shanghui001,2,2,-1,true,
89340401,1,1,mishu001,4,1,0,true,
89340402,2,2,dianzhang001,4,1,0,true,
89340403,3,3,yongren001,4,1,0,true,
89340404,4,4,baobiao001,4,1,0,true,
